[Wed Sep 04 21:08:51.006795 2019] [php7:notice] [pid 1083] [client ::1:57522] PHP Notice:  Undefined variable: discountAmount in /var/www/html/discountCalculator/display.php on line 32
[Wed Sep 04 21:08:51.006800 2019] [php7:notice] [pid 1083] [client ::1:57522] PHP Notice:  Undefined variable: discountPrice in /var/www/html/discountCalculator/display.php on line 34
[Wed Sep 04 21:08:53.516221 2019] [php7:error] [pid 1083] [client ::1:57522] script '/var/www/html/discountCalculator/index.php' not found or unable to stat, referer: http://localhost/discountCalculator/display.php
[Wed Sep 04 21:11:14.605275 2019] [php7:notice] [pid 1086] [client ::1:58386] PHP Notice:  Undefined variable: product in /var/www/html/discountCalculator/display.php on line 26, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:11:14.605322 2019] [php7:notice] [pid 1086] [client ::1:58386] PHP Notice:  Undefined variable: price in /var/www/html/discountCalculator/display.php on line 28, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:11:14.605332 2019] [php7:notice] [pid 1086] [client ::1:58386] PHP Notice:  Undefined variable: discount in /var/www/html/discountCalculator/display.php on line 30, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:11:14.605341 2019] [php7:notice] [pid 1086] [client ::1:58386] PHP Notice:  Undefined variable: discountAmount in /var/www/html/discountCalculator/display.php on line 32, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:11:14.605349 2019] [php7:notice] [pid 1086] [client ::1:58386] PHP Notice:  Undefined variable: discountPrice in /var/www/html/discountCalculator/display.php on line 34, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:11:20.814883 2019] [php7:error] [pid 1083] [client ::1:58388] script '/var/www/html/discountCalculator/index.php' not found or unable to stat, referer: http://localhost/discountCalculator/display.php
[Wed Sep 04 21:11:59.237954 2019] [php7:notice] [pid 1082] [client ::1:58394] PHP Notice:  Undefined variable: product in /var/www/html/discountCalculator/display.php on line 26, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:11:59.238010 2019] [php7:notice] [pid 1082] [client ::1:58394] PHP Notice:  Undefined variable: price in /var/www/html/discountCalculator/display.php on line 28, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:11:59.238019 2019] [php7:notice] [pid 1082] [client ::1:58394] PHP Notice:  Undefined variable: discount in /var/www/html/discountCalculator/display.php on line 30, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:11:59.238036 2019] [php7:notice] [pid 1082] [client ::1:58394] PHP Notice:  Undefined variable: discountAmount in /var/www/html/discountCalculator/display.php on line 32, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:11:59.238043 2019] [php7:notice] [pid 1082] [client ::1:58394] PHP Notice:  Undefined variable: discountPrice in /var/www/html/discountCalculator/display.php on line 34, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:12:01.314820 2019] [php7:error] [pid 1082] [client ::1:58394] script '/var/www/html/discountCalculator/index.php' not found or unable to stat, referer: http://localhost/discountCalculator/display.php
[Wed Sep 04 21:12:23.503918 2019] [php7:notice] [pid 1085] [client ::1:58398] PHP Notice:  Undefined variable: product in /var/www/html/discountCalculator/display.php on line 26, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:12:23.503956 2019] [php7:notice] [pid 1085] [client ::1:58398] PHP Notice:  Undefined variable: price in /var/www/html/discountCalculator/display.php on line 28, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:12:23.503967 2019] [php7:notice] [pid 1085] [client ::1:58398] PHP Notice:  Undefined variable: discount in /var/www/html/discountCalculator/display.php on line 30, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:12:23.503977 2019] [php7:notice] [pid 1085] [client ::1:58398] PHP Notice:  Undefined variable: discountAmount in /var/www/html/discountCalculator/display.php on line 32, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:12:23.503987 2019] [php7:notice] [pid 1085] [client ::1:58398] PHP Notice:  Undefined variable: discountPrice in /var/www/html/discountCalculator/display.php on line 34, referer: http://localhost/discountCalculator/
[Wed Sep 04 21:30:18.309100 2019] [php7:warn] [pid 1085] [client ::1:34610] PHP Warning:  A non-numeric value encountered in /var/www/html/discountCalculator/display.php on line 19, referer: http://localhost/discountCalculator/discountCalculator.php
[Wed Sep 04 21:30:18.322666 2019] [php7:warn] [pid 1085] [client ::1:34610] PHP Warning:  A non-numeric value encountered in /var/www/html/discountCalculator/display.php on line 19, referer: http://localhost/discountCalculator/discountCalculator.php
[Wed Sep 04 21:30:18.322689 2019] [php7:warn] [pid 1085] [client ::1:34610] PHP Warning:  A non-numeric value encountered in /var/www/html/discountCalculator/display.php on line 20, referer: http://localhost/discountCalculator/discountCalculator.php
[Wed Sep 04 21:49:13.030022 2019] [php7:notice] [pid 1082] [client ::1:37614] PHP Notice:  Undefined index: First operand in /var/www/html/calculatorPHP/index.php on line 25, referer: http://localhost/calculatorPHP/?First+operand=&Second+operand=
